ID,电影名称,评分,信息,短评,url
66,情书,8.9,导演: 岩井俊二 Shunji Iwai主演: 中山美穗 Miho Nakayama  丰川悦司 Ets...                            1995日本剧情 爱情,暗恋的极致。,https://movie.douban.com/subject/1292220/
67,两杆大烟枪,9.1,导演: Guy Ritchie主演: Jason Flemyng  Dexter Fletcher  Nick Moran                            1998英国剧情 喜剧 犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
68,西西里的美丽传说,8.9,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 莫妮卡·贝鲁奇 Monica ...                            2000意大利 美国剧情 战争 情色,美丽无罪。,https://movie.douban.com/subject/1292402/
69,音乐之声,9.1,导演: 罗伯特·怀斯 Robert Wise主演: 朱莉·安德鲁斯 Julie Andrews  克...                            1965美国剧情 传记 爱情 歌舞,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
70,看不见的客人,8.8,导演: 奥里奥尔·保罗 Oriol Paulo主演: 马里奥·卡萨斯 Mario Casas  阿...                            2016西班牙剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
71,阿凡达,8.8,导演: 詹姆斯·卡梅隆 James Cameron主演: 萨姆·沃辛顿 Sam Worthington ...                            2009美国动作 科幻 冒险,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
72,拯救大兵瑞恩,9.1,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...                            1998美国剧情 战争,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
73,小鞋子,9.2,导演: 马基德·马基迪 Majid Majidi主演: 默罕默德·阿米尔·纳吉 Mohamma...                            1997伊朗剧情 儿童 家庭,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
74,飞越疯人院,9.1,导演: 米洛斯·福尔曼 Miloš Forman主演: 杰克·尼科尔森 Jack Nichols...                            1975美国剧情,自由万岁。,https://movie.douban.com/subject/1292224/
75,哈利·波特与死亡圣器(下),9.0,导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...                            2011美国 英国奇幻 冒险,10年的完美句点。,https://movie.douban.com/subject/3011235/
76,沉默的羔羊,8.9,导演: 乔纳森·戴米 Jonathan Demme主演: 朱迪·福斯特 Jodie Foster  安...                            1991美国剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
77,布达佩斯大饭店,8.9,导演: 韦斯·安德森 Wes Anderson主演: 拉尔夫·费因斯 Ralph Fiennes  ...                            2014美国 德国 英国剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
78,禁闭岛,8.9,导演: Martin Scorsese主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio  ...                            2010美国剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
79,蝴蝶效应,8.9,导演: 埃里克·布雷斯 Eric Bress  J·麦基·格鲁伯 J. Mackye Gruber主...                            2004美国 加拿大剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
80,致命魔术,8.9,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 休·杰克曼 Hugh Jackman...                            2006英国 美国剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
81,功夫,8.8,导演: 周星驰 Stephen Chow主演: 周星驰 Stephen Chow  元秋 Qiu Yuen  ...                            2004中国大陆 中国香港动作 喜剧 犯罪 奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
82,心灵捕手,8.9,导演: 格斯·范·桑特 Gus Van Sant主演: 马特·达蒙 Matt Damon  罗宾·...                            1997美国剧情,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
83,海豚湾,9.3,导演: 路易·西霍尤斯 Louie Psihoyos主演: 路易·西霍尤斯 Louie Psihoyo...                            2009美国纪录片,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
84,哈利·波特与阿兹卡班的囚徒,8.9,导演: Alfonso Cuarón主演: 丹尼尔·雷德克里夫 Daniel Radcliffe  Emma...                            2004英国 美国奇幻 冒险,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
85,低俗小说,8.9,导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 约翰·特拉沃尔塔 John Tra...                            1994美国剧情 喜剧 犯罪,故事的高级讲法。,https://movie.douban.com/subject/1291832/
86,春光乍泄,9.0,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung  梁朝伟 Tony Leu...                            1997中国香港 日本 韩国剧情 爱情 同性,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
87,美国往事,9.2,导演: 赛尔乔·莱翁内 Sergio Leone主演: 罗伯特·德尼罗 Robert De Niro ...                            1984美国 意大利犯罪 剧情,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
88,超脱,9.0,导演: 托尼·凯耶 Tony Kaye主演: 艾德里安·布洛迪 Adrien Brody  马西...                            2011美国剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
